Time,Temperature,HeatFlux,T_amb,Material_rho,Material_cp,Material_lmbd,Length,x0,RobinAlpha
156.291,21.1311,1.1995,20.7443
157.344,21.1302,1.1791,20.7432
158.398,21.1288,1.1563,20.7452
159.458,21.1357,1.2519,20.7491
160.529,21.1356,1.2109,20.7534
161.592,21.1118,0.9742,20.7572
162.658,21.1252,1.1631,20.7598
163.712,21.1162,1.0402,20.7601
164.773,21.1426,1.2428,20.7595
165.843,21.1327,1.129,20.759
166.902,21.1278,1.1017,20.7597
167.953,21.1217,1.1745,20.7579
169.022,21.134,1.1472,20.7583
170.092,21.1405,1.1813,20.7581
171.162,21.1401,1.1563,20.7589
172.214,21.1345,1.2382,20.7583
173.282,21.1426,1.2838,20.7586
174.349,21.1315,1.1244,20.7568
175.418,21.1255,1.1062,20.757
176.489,21.1235,1.1472,20.7564
177.54,21.1318,1.2246,20.7554
178.595,21.1334,1.2291,20.7553
179.665,21.1414,1.3225,20.7557
180.733,21.1252,1.1836,20.7545
181.793,21.1247,1.1221,20.7537
182.862,21.1383,1.1813,20.7506
183.931,21.1349,1.1631,20.7496
185.003,21.1349,1.0903,20.7493
186.081,21.1329,1.0243,20.7465
187.133,21.1281,0.849,20.7471
188.187,21.1174,0.7329,20.7457
189.246,21.1281,0.8262,20.7476
190.304,21.1223,0.7443,20.746
191.362,21.1466,0.9696,20.7466
192.414,21.129,0.6874,20.7469
193.475,21.1269,0.7056,20.7465
194.541,21.1316,0.89,20.7447
195.599,21.1273,0.8035,20.7458
196.656,21.1257,0.7807,20.7452
197.712,21.132,0.6578,20.7452
198.784,21.1374,0.8399,20.7438
199.843,21.143,0.8263,20.7432
200.915,21.1278,0.783,20.7411
201.967,21.132,0.8285,20.7394
203.037,21.1429,0.874,20.7397
204.094,21.1359,0.9401,20.7377
205.163,21.1414,0.8945,20.737
206.219,21.1389,0.8558,20.7358
207.272,21.1362,0.9309,20.7347
208.34,21.135,0.9014,20.7351
209.41,21.1295,0.8103,20.7342
210.479,21.1222,0.8467,20.7339
211.54,21.1388,0.8854,20.734
212.592,21.1376,0.8536,20.7326
213.661,21.1454,0.9378,20.7333
214.718,21.1266,0.7989,20.7301
215.789,21.1369,0.7056,20.7304
216.841,21.1327,0.8968,20.7282
217.897,21.1329,0.8262,20.7263
218.957,21.1299,0.7284,20.7273
220.022,21.1402,0.9014,20.7256
221.081,21.1275,0.7557,20.724
222.134,21.1225,0.8422,20.7245
223.199,21.1266,0.9082,20.7246
224.252,21.1361,0.8968,20.7257
225.332,21.1249,0.6737,20.7279
226.384,21.1498,0.8832,20.7289
227.446,21.1419,0.6533,20.732
228.505,21.1395,0.8422,20.7315
229.579,21.1548,0.8536,20.7334
230.641,21.1432,0.8695,20.7331
231.71,21.142,0.8536,20.7344
232.78,21.1322,0.7693,20.7353
233.834,21.139,0.7921,20.7351
234.907,21.1373,0.8536,20.7347
235.96,21.1309,0.824,20.7328
237.011,21.1297,0.8217,20.7317
238.082,21.1349,0.8695,20.7303
239.153,21.1294,0.8194,20.7296
240.214,21.1349,0.8831,20.7298
241.286,21.1372,0.9082,20.7296
242.339,21.1588,0.9719,20.729
243.413,21.1413,0.9332,20.7287
244.49,21.1397,0.9901,20.7282
245.567,21.133,0.7716,20.729
246.637,21.1375,0.8877,20.7284
247.69,21.1362,0.7944,20.7274
248.753,21.1286,0.8945,20.7278
249.814,21.1559,0.9469,20.7285
250.877,21.1409,0.8149,20.7267
251.935,21.1395,0.7352,20.7267
252.999,21.1472,0.874,20.7281
254.053,21.1425,0.824,20.7278
255.106,21.1332,0.7011,20.729
256.179,21.1298,0.7238,20.7284
257.234,21.1451,0.9059,20.7289
258.308,21.1431,1.0038,20.7292
259.381,21.1383,0.7329,20.7303
260.448,21.141,0.8968,20.7293
261.52,21.1463,0.7944,20.7306
262.573,21.1329,0.8581,20.7292
263.644,21.1394,0.7602,20.7298
264.718,21.1465,0.9082,20.7296
265.793,21.1523,0.8649,20.729
266.851,21.1338,0.7853,20.7279
267.903,21.1167,0.717,20.7289
268.975,21.1426,0.8581,20.7287
270.039,21.1425,0.8763,20.7285
271.101,21.1389,0.8126,20.7279
272.154,21.1305,0.8467,20.7273
273.214,21.1362,0.8353,20.7285
274.287,21.127,0.7784,20.7287
